Region,Altitude,Order,Type,MMU,Mass,G1,G2,G3,FET,SIT,PT,ALT,MNT,LOIT,FE1,SI1,P1,AL1,MN1,LOI1,FE2,SI2,P2,AL2,MN2,LOI2,FE3,SI3,P3,AL3,MN3,LOI3
region_7,70,3,4,region_7#70#3#4,103751,13.31,21.76,64.93,44.25,34.49,0.04,0.92,0.05,0.99,62.10,9.71,0.04,0.45,0.03,0.83,64.60,5.83,0.04,0.46,0.06,0.89,33.77,49.17,0.04,1.16,0.06,1.06
region_7,70,5,1,region_7#70#5#1,157730,17.71,21.45,60.84,40.08,41.30,0.03,0.53,0.04,0.61,55.65,19.14,0.03,0.43,0.04,0.65,60.15,12.72,0.03,0.39,0.03,0.62,28.47,57.84,0.02,0.60,0.04,0.59
region_7,70,5,4,region_7#70#5#4,23735,18.16,24.57,57.27,42.41,37.95,0.03,0.53,0.06,0.67,56.17,18.35,0.03,0.44,0.05,0.70,60.71,11.89,0.03,0.40,0.06,0.67,30.19,55.35,0.03,0.61,0.06,0.65
region_7,70,6,1,region_7#70#6#1,35228,25.41,17.09,57.50,36.09,46.32,0.03,0.83,0.04,0.94,52.27,23.73,0.03,0.43,0.03,0.72,56.37,17.41,0.04,0.54,0.07,1.03,22.91,64.90,0.03,1.09,0.04,1.00
region_7,70,6,4,region_7#70#6#4,48251,14.16,23.81,62.03,44.00,34.97,0.05,0.81,0.04,1.12,62.51,8.31,0.08,0.55,0.03,1.49,63.74,7.09,0.05,0.53,0.03,1.05,32.19,51.75,0.04,0.98,0.04,1.07
region_7,70,7,1,region_7#70#7#1,1867,17.15,17.18,65.66,41.83,38.65,0.02,0.67,0.03,0.68,55.13,20.09,0.03,0.29,0.03,0.61,60.50,12.09,0.02,0.47,0.03,0.71,33.47,50.45,0.02,0.82,0.03,0.69
region_7,70,7,2,region_7#70#7#2,2956,14.12,23.78,62.09,54.37,14.85,0.08,2.83,0.31,3.73,62.24,5.18,0.07,2.07,0.23,3.25,62.54,5.00,0.08,1.75,0.19,3.23,49.45,20.83,0.09,3.41,0.38,4.03
region_7,70,7,4,region_7#70#7#4,76024,13.20,19.96,66.84,43.56,35.58,0.03,0.87,0.03,1.05,58.84,14.09,0.03,0.52,0.03,1.07,63.86,7.04,0.03,0.48,0.03,0.94,34.48,48.35,0.03,1.06,0.03,1.08
region_7,70,8,1,region_7#70#8#1,51886,15.48,21.86,62.66,40.49,39.32,0.03,1.12,0.29,1.02,55.17,19.86,0.02,0.45,0.11,0.46,59.64,12.82,0.03,0.70,0.13,0.80,30.19,53.37,0.04,1.44,0.40,1.23
region_7,70,8,2,region_7#70#8#2,6027,20.98,19.96,59.05,60.52,10.32,0.04,1.22,0.24,1.42,67.48,1.08,0.04,0.74,0.17,1.35,67.18,2.10,0.04,0.64,0.07,1.06,55.81,16.39,0.05,1.59,0.33,1.57
region_7,70,8,3,region_7#70#8#3,1715,6.34,17.16,76.50,45.85,28.53,0.06,2.78,0.29,2.25,64.57,5.56,0.05,0.60,0.18,1.40,63.58,5.02,0.08,1.03,0.29,2.10,40.33,35.71,0.06,3.36,0.30,2.35
region_7,70,8,4,region_7#70#8#4,65275,13.93,21.43,64.64,44.20,34.66,0.03,0.91,0.10,0.90,60.00,12.84,0.02,0.51,0.04,0.63,63.16,8.08,0.03,0.59,0.07,0.76,34.51,48.17,0.03,1.10,0.13,1.00
region_7,70,9,1,region_7#70#9#1,47006,41.90,19.60,38.50,40.41,40.94,0.03,0.45,0.03,0.57,48.07,30.19,0.02,0.32,0.02,0.52,55.02,20.16,0.03,0.35,0.03,0.58,24.63,63.23,0.03,0.64,0.04,0.62
region_7,70,9,2,region_7#70#9#2,4610,4.05,27.07,68.88,59.22,12.37,0.03,1.48,0.02,1.24,64.29,5.89,0.04,0.86,0.02,1.28,65.69,4.48,0.03,0.52,0.02,0.88,56.38,15.84,0.03,1.89,0.02,1.38
region_7,70,9,3,region_7#70#9#3,23073,14.60,25.40,60.01,45.61,33.28,0.03,0.52,0.02,0.74,61.90,9.94,0.02,0.31,0.02,1.10,63.20,8.42,0.03,0.33,0.02,0.69,34.21,49.48,0.02,0.65,0.02,0.68
region_7,70,10,1,region_7#70#10#1,33541,25.44,20.98,53.58,40.02,40.07,0.04,1.32,0.03,1.22,39.45,42.00,0.04,0.68,0.02,0.79,54.48,19.75,0.05,0.97,0.02,1.25,34.63,47.10,0.04,1.76,0.03,1.41
region_7,70,10,3,region_7#70#10#3,117663,15.45,24.06,60.48,46.66,31.09,0.03,1.03,0.02,0.96,55.37,18.99,0.04,0.73,0.02,0.96,62.18,9.10,0.03,0.86,0.01,1.00,38.25,42.92,0.03,1.17,0.02,0.95
region_7,70,11,1,region_7#70#11#1,154623,23.77,18.38,57.85,40.59,40.44,0.03,0.78,0.02,0.75,49.81,28.13,0.02,0.42,0.02,0.42,56.45,17.92,0.03,0.59,0.02,0.75,31.77,52.65,0.03,0.99,0.03,0.89
region_7,70,11,2,region_7#70#11#2,2955,30.60,34.48,34.92,60.51,6.67,0.10,2.46,0.04,4.16,62.95,1.44,0.13,2.92,0.04,5.44,62.05,3.15,0.13,2.91,0.05,4.85,56.85,14.72,0.05,1.60,0.03,2.36
region_7,70,11,4,region_7#70#11#4,6611,30.92,21.23,47.85,43.81,35.60,0.03,0.95,0.02,0.83,58.97,14.75,0.02,0.57,0.02,0.50,57.24,16.21,0.04,1.04,0.02,1.05,28.06,57.68,0.03,1.14,0.03,0.95
region_7,70,12,1,region_7#70#12#1,112499,21.77,17.71,60.52,40.21,41.08,0.03,0.71,0.02,0.72,49.34,28.55,0.02,0.44,0.02,0.53,57.90,15.80,0.04,0.56,0.02,0.78,31.75,52.99,0.02,0.86,0.02,0.77
region_7,70,12,2,region_7#70#12#2,7292,44.21,41.07,14.72,61.49,2.66,0.15,3.34,0.05,5.94,62.89,0.93,0.15,3.23,0.04,5.88,61.08,2.21,0.16,3.73,0.06,6.35,58.39,9.11,0.10,2.59,0.06,4.98
region_7,70,12,4,region_7#70#12#4,852,16.30,22.06,61.65,42.64,37.44,0.03,0.75,0.02,0.78,53.81,22.28,0.02,0.42,0.01,0.44,56.26,18.13,0.03,0.59,0.01,0.70,34.81,48.36,0.03,0.90,0.02,0.90
region_7,60,1,1,region_7#60#1#1,27260,1.18,1.08,5.58,2.18,4.38,0.00,0.11,0.03,0.14,39.24,39.38,0.04,1.03,1.00,1.61,48.19,27.13,0.05,0.87,0.60,1.71,21.52,64.85,0.06,1.61,0.19,1.85
region_7,60,1,2,region_7#60#1#2,6362,22.70,32.49,44.81,60.81,5.62,0.11,3.50,0.07,3.30,60.78,3.10,0.14,4.75,0.06,4.54,63.48,3.19,0.11,2.63,0.06,2.88,58.88,8.67,0.10,3.50,0.07,2.97
region_7,60,1,3,region_7#60#1#3,4974,11.94,25.57,62.49,50.24,20.94,0.11,3.08,0.17,3.50,59.77,6.83,0.11,3.39,0.12,4.09,59.45,8.70,0.10,2.43,0.14,3.27,44.65,28.64,0.11,3.29,0.19,3.49
region_7,60,1,4,region_7#60#1#4,8182,9.42,24.27,66.31,44.46,33.58,0.05,0.98,0.06,1.44,56.75,16.69,0.06,0.49,0.04,1.38,63.86,6.23,0.05,0.68,0.05,1.42,35.61,45.99,0.05,1.17,0.07,1.46
region_7,60,2,1,region_7#60#2#1,278678,15.12,20.32,54.42,36.03,36.21,0.04,0.74,0.09,1.09,49.98,26.88,0.04,0.42,0.05,0.92,58.19,14.73,0.04,0.55,0.09,1.20,30.59,53.56,0.04,1.03,0.12,1.30
region_7,60,2,2,region_7#60#2#2,75158,11.03,29.75,59.22,58.84,12.67,0.05,1.39,0.09,1.37,65.73,3.75,0.04,0.87,0.04,1.01,66.39,2.98,0.04,0.75,0.06,0.99,53.75,19.21,0.06,1.80,0.11,1.63
region_7,60,2,3,region_7#60#2#3,7764,6.53,24.71,68.77,46.66,23.05,0.10,3.21,2.40,3.52,52.13,11.77,0.13,5.52,2.40,4.82,55.53,10.98,0.09,2.79,2.46,3.24,42.96,28.46,0.10,3.14,2.38,3.49
region_7,60,2,4,region_7#60#2#4,224043,12.73,23.88,63.39,43.90,35.05,0.04,0.84,0.09,1.05,59.71,13.14,0.04,0.46,0.03,0.79,63.70,7.15,0.04,0.53,0.06,0.82,33.27,49.96,0.04,1.03,0.11,1.19
region_7,60,3,1,region_7#60#3#1,373140,50.70,15.17,34.13,41.90,38.42,0.05,0.52,0.09,0.80,49.48,27.95,0.04,0.45,0.03,0.54,53.30,21.69,0.08,0.46,0.18,1.20,25.57,61.41,0.05,0.66,0.15,1.01
region_7,60,3,2,region_7#60#3#2,16852,37.73,24.61,37.66,61.99,8.84,0.07,1.07,0.07,1.22,67.63,2.13,0.06,0.62,0.04,0.77,61.41,9.68,0.07,0.78,0.10,1.23,56.71,15.01,0.07,1.71,0.08,1.67
region_7,60,3,4,region_7#60#3#4,229771,20.33,21.24,58.43,43.51,35.81,0.04,0.72,0.09,0.90,57.16,16.83,0.03,0.46,0.04,0.63,62.20,9.19,0.05,0.47,0.12,0.94,31.96,52.10,0.04,0.90,0.10,0.97
region_7,60,5,1,region_7#60#5#1,89054,25.44,21.46,53.09,39.88,41.34,0.04,0.52,0.08,0.85,51.17,25.48,0.04,0.40,0.04,0.73,56.17,17.85,0.06,0.43,0.11,1.02,27.89,58.43,0.04,0.61,0.09,0.84
region_7,60,5,4,region_7#60#5#4,164558,22.97,23.52,53.51,43.77,35.77,0.04,0.57,0.04,0.80,58.38,14.89,0.05,0.53,0.03,0.85,60.93,11.34,0.05,0.43,0.04,0.85,29.96,55.48,0.04,0.65,0.04,0.77
region_7,60,6,1,region_7#60#6#1,22900,12.04,18.86,69.10,36.74,43.56,0.07,1.38,0.06,2.01,57.17,15.51,0.08,0.68,0.03,1.80,57.35,13.91,0.10,0.86,0.05,2.59,27.56,56.54,0.06,1.64,0.06,1.89
region_7,60,6,3,region_7#60#6#3,67972,22.02,21.80,56.18,45.33,32.43,0.07,0.87,0.03,1.62,62.24,7.88,0.12,0.64,0.03,2.17,62.46,8.09,0.08,0.61,0.03,1.77,32.06,51.50,0.05,1.06,0.03,1.34
region_7,60,7,1,region_7#60#7#1,6395,7.86,17.48,74.67,36.55,42.86,0.06,1.88,0.18,2.41,56.09,14.14,0.08,2.02,0.16,3.26,55.68,15.04,0.10,1.38,0.20,3.40,30.02,52.39,0.05,1.98,0.18,2.10
region_7,60,7,2,region_7#60#7#2,2671,7.89,25.84,66.27,57.84,14.15,0.04,1.44,0.12,1.38,64.88,3.21,0.05,1.73,0.13,1.85,65.59,3.57,0.04,0.90,0.07,1.40,53.97,19.59,0.03,1.61,0.14,1.31
region_7,60,7,3,region_7#60#7#3,1257,6.95,18.02,75.03,51.44,18.52,0.06,2.96,1.06,3.13,53.57,11.50,0.10,4.74,0.93,5.72,61.88,5.41,0.09,1.86,0.65,3.40,48.73,22.31,0.05,3.06,1.17,2.83
region_7,60,7,4,region_7#60#7#4,7384,12.37,21.13,66.50,44.92,32.35,0.05,1.12,0.10,1.78,59.19,12.14,0.05,0.75,0.06,2.18,60.83,9.54,0.07,0.74,0.10,2.25,37.21,43.35,0.04,1.31,0.11,1.55
region_7,60,8,1,region_7#60#8#1,2711,23.57,20.75,55.68,40.29,41.01,0.02,0.40,0.04,0.62,51.78,25.01,0.02,0.23,0.02,0.43,56.41,18.20,0.03,0.30,0.06,0.82,29.42,56.28,0.02,0.50,0.05,0.63
region_7,60,8,4,region_7#60#8#4,4082,12.66,25.32,62.02,43.04,36.56,0.02,0.62,0.11,0.81,53.72,22.10,0.02,0.27,0.02,0.57,59.91,12.80,0.03,0.45,0.11,0.86,33.97,49.21,0.02,0.75,0.12,0.84
region_7,50,2,1,region_7#50#2#1,32901,22.05,18.45,59.50,38.27,43.11,0.04,0.78,0.13,0.96,47.84,30.31,0.03,0.42,0.07,0.55,58.70,13.74,0.05,0.57,0.17,1.07,28.39,56.96,0.04,0.99,0.14,1.09
region_7,50,2,2,region_7#50#2#2,3620,7.23,31.31,61.47,57.76,14.63,0.05,1.14,0.09,1.23,64.27,6.51,0.04,0.53,0.10,0.83,66.22,3.48,0.04,0.65,0.08,0.92,52.69,21.27,0.05,1.47,0.10,1.43
region_7,50,2,4,region_7#50#2#4,40001,17.04,19.41,63.56,42.57,36.62,0.04,0.79,0.11,1.24,53.29,22.27,0.03,0.51,0.03,0.68,60.62,10.76,0.05,0.57,0.15,1.18,34.19,48.37,0.05,0.93,0.13,1.41
region_7,50,3,2,region_7#50#3#2,10692,19.77,33.03,47.20,63.05,7.51,0.05,0.94,0.13,1.09,65.43,4.47,0.05,1.01,0.06,0.95,63.36,6.27,0.05,0.98,0.24,1.34,61.83,9.66,0.04,0.89,0.08,0.96
region_7,50,3,4,region_7#50#3#4,228084,30.63,18.02,51.34,42.69,36.85,0.05,0.67,0.08,1.08,52.60,23.32,0.04,0.45,0.03,0.74,58.54,13.97,0.06,0.56,0.11,1.24,31.21,52.95,0.05,0.85,0.10,1.22
region_7,50,5,1,region_7#50#5#1,15118,33.24,22.17,44.58,41.78,38.76,0.04,0.59,0.02,0.82,51.40,25.14,0.04,0.36,0.02,0.78,55.76,18.78,0.05,0.53,0.03,0.91,27.65,58.86,0.04,0.79,0.02,0.81
region_7,50,5,4,region_7#50#5#4,35030,25.23,24.79,49.98,43.15,36.37,0.06,0.68,0.03,1.16,53.79,20.49,0.09,0.46,0.04,1.85,57.73,15.80,0.06,0.52,0.03,1.04,30.53,54.59,0.04,0.86,0.03,0.87
region_7,50,6,1,region_7#50#6#1,19109,21.78,23.36,54.85,38.50,42.79,0.05,0.83,0.04,1.21,53.89,20.83,0.06,0.42,0.04,1.46,54.85,19.74,0.06,0.51,0.04,1.16,25.42,61.34,0.04,1.13,0.05,1.13
region_7,50,6,4,region_7#50#6#4,2067,26.37,23.17,50.45,42.46,37.06,0.06,0.76,0.05,1.36,55.61,17.67,0.09,0.50,0.04,2.10,56.08,17.94,0.06,0.53,0.04,1.21,29.33,55.97,0.04,1.01,0.05,1.04
region_7,50,7,1,region_7#50#7#1,3766,4.50,13.20,82.30,30.92,50.71,0.05,2.19,0.51,1.99,53.04,20.02,0.04,2.09,0.18,1.65,51.83,21.79,0.05,1.42,0.55,1.79,26.35,57.03,0.05,2.32,0.53,2.05
region_7,50,7,2,region_7#50#7#2,1136,4.80,25.34,69.86,57.65,14.06,0.03,1.83,0.11,1.42,65.44,3.05,0.06,1.42,0.08,1.74,64.92,4.97,0.03,0.91,0.06,1.05,54.48,18.12,0.03,2.19,0.14,1.53
region_7,50,7,3,region_7#50#7#3,2495,6.82,17.62,75.56,50.45,20.03,0.06,2.97,1.08,3.01,52.72,13.00,0.10,4.54,0.97,5.65,61.53,6.02,0.07,1.87,0.73,3.23,47.67,23.93,0.05,3.09,1.18,2.72
region_7,50,7,4,region_7#50#7#4,756,9.06,20.32,70.61,43.01,35.17,0.06,1.02,0.07,1.92,60.19,11.47,0.05,0.42,0.08,1.88,62.07,7.44,0.09,0.71,0.07,2.62,35.31,46.20,0.05,1.19,0.08,1.72
region_8,100,3,3,region_8#100#3#3,13495,32.94,22.48,44.58,47.49,30.41,0.03,0.73,0.02,0.52,54.76,20.61,0.02,0.50,0.01,0.39,62.24,9.05,0.03,0.68,0.01,0.59,34.69,48.41,0.02,0.92,0.03,0.58
region_8,90,3,2,region_8#90#3#2,9748,79.01,14.57,6.42,66.92,2.41,0.05,0.77,0.03,0.64,67.83,1.31,0.04,0.67,0.03,0.55,67.44,1.79,0.06,0.71,0.03,0.65,54.52,17.39,0.11,2.14,0.05,1.76
region_8,90,3,3,region_8#90#3#3,24648,72.73,14.72,12.55,45.07,34.24,0.03,0.50,0.01,0.32,44.80,34.87,0.03,0.34,0.01,0.26,49.99,26.79,0.03,0.77,0.02,0.31,40.85,39.27,0.02,1.12,0.01,0.67
region_8,80,2,1,region_8#80#2#1,3699,83.82,10.57,5.61,39.64,41.54,0.06,0.29,0.02,0.47,39.83,41.32,0.06,0.24,0.01,0.46,41.81,38.34,0.05,0.43,0.02,0.45,32.74,50.89,0.03,0.88,0.02,0.67
region_8,80,2,2,region_8#80#2#2,403,34.21,28.77,37.02,60.60,6.11,0.12,3.47,0.09,3.33,64.55,2.62,0.09,2.45,0.07,2.45,62.26,4.20,0.12,3.22,0.06,3.25,55.64,10.81,0.14,4.59,0.14,4.19
region_8,80,3,1,region_8#80#3#1,45617,83.52,10.40,6.07,40.88,40.16,0.04,0.35,0.02,0.40,41.00,40.05,0.04,0.29,0.02,0.39,43.57,36.15,0.03,0.47,0.02,0.38,34.65,48.47,0.02,0.87,0.02,0.62
region_8,80,3,2,region_8#80#3#2,18251,83.76,12.46,3.78,67.39,1.75,0.04,0.76,0.02,0.58,67.71,1.37,0.04,0.71,0.02,0.53,67.55,1.57,0.05,0.72,0.03,0.64,59.58,10.70,0.07,1.86,0.06,1.53
region_8,80,3,3,region_8#80#3#3,36980,32.13,22.66,45.21,48.64,28.59,0.02,0.80,0.01,0.52,57.55,16.36,0.02,0.63,0.00,0.46,63.48,7.14,0.03,0.77,0.01,0.59,34.86,48.03,0.02,0.94,0.01,0.53
region_8,70,2,1,region_8#70#2#1,6390,86.53,9.16,4.31,40.85,39.83,0.06,0.24,0.02,0.49,41.17,39.38,0.06,0.22,0.02,0.48,43.00,36.75,0.05,0.26,0.03,0.49,29.89,55.26,0.03,0.62,0.02,0.56
region_8,70,2,2,region_8#70#2#2,3210,68.38,18.22,13.40,62.92,8.55,0.03,0.83,0.02,0.49,67.62,2.04,0.03,0.67,0.02,0.40,50.70,26.50,0.03,0.67,0.01,0.45,55.59,17.35,0.03,1.87,0.01,1.04
region_8,70,3,2,region_8#70#3#2,52857,64.05,18.05,17.90,62.70,8.51,0.03,0.96,0.02,0.62,67.40,2.16,0.03,0.72,0.02,0.49,54.99,20.04,0.02,0.73,0.01,0.51,53.69,19.61,0.03,2.04,0.01,1.18
region_8,70,3,3,region_8#70#3#3,75864,35.62,22.10,42.28,49.49,27.28,0.02,0.85,0.01,0.56,59.47,13.44,0.02,0.68,0.00,0.51,63.70,6.84,0.03,0.83,0.01,0.61,33.65,49.62,0.02,1.02,0.01,0.57
region_8,70,3,4,region_8#70#3#4,50264,83.26,10.50,6.24,43.39,36.62,0.04,0.31,0.02,0.39,43.51,36.49,0.04,0.27,0.02,0.38,47.33,30.99,0.04,0.31,0.02,0.35,35.12,47.83,0.02,0.77,0.02,0.51
region_8,70,5,2,region_8#70#5#2,997,82.59,11.04,6.37,67.15,2.15,0.04,0.90,0.04,0.70,67.65,1.65,0.04,0.78,0.04,0.63,67.02,2.34,0.03,0.92,0.02,0.70,60.95,8.21,0.06,2.46,0.07,1.69
region_8,70,5,3,region_8#70#5#3,386,43.10,20.90,36.00,51.31,24.46,0.02,0.97,0.01,0.64,62.54,8.76,0.02,0.76,0.00,0.59,64.22,6.15,0.04,0.96,0.00,0.66,30.38,53.88,0.02,1.22,0.01,0.68
region_8,60,2,1,region_8#60#2#1,3730,89.00,8.30,2.71,39.65,41.54,0.06,0.23,0.02,0.52,40.18,40.81,0.06,0.22,0.02,0.52,39.05,42.33,0.06,0.24,0.03,0.55,24.23,63.11,0.04,0.47,0.04,0.66
region_8,60,2,2,region_8#60#2#2,1874,42.30,28.82,28.88,55.10,19.12,0.03,1.32,0.04,0.93,65.94,4.37,0.02,0.89,0.02,0.63,37.93,44.47,0.03,1.02,0.02,0.81,56.35,15.41,0.04,2.25,0.07,1.49
region_8,60,2,3,region_8#60#2#3,1544,43.10,20.90,36.00,51.31,24.46,0.02,0.97,0.01,0.64,62.54,8.76,0.02,0.76,0.00,0.59,64.22,6.15,0.04,0.96,0.00,0.66,30.38,53.88,0.02,1.22,0.01,0.68
region_8,60,3,1,region_8#60#3#1,74503,21.22,10.29,17.72,25.26,12.04,0.01,0.48,0.00,0.31,62.54,8.76,0.02,0.76,0.00,0.59,64.22,6.15,0.04,0.96,0.00,0.66,30.38,53.88,0.02,1.22,0.01,0.68
region_8,60,3,2,region_8#60#3#2,81145,53.40,23.65,22.95,59.45,13.06,0.03,1.14,0.03,0.79,67.02,2.82,0.03,0.79,0.02,0.56,45.61,33.44,0.03,0.93,0.02,0.71,56.11,15.90,0.04,2.18,0.05,1.38
region_8,60,3,3,region_8#60#3#3,62247,80.05,12.50,7.45,45.46,29.74,0.14,2.04,0.11,2.38,45.30,31.20,0.12,1.46,0.07,1.85,49.26,21.60,0.24,2.90,0.16,4.02,40.81,27.79,0.20,6.85,0.54,5.35
region_8,60,5,1,region_8#60#5#1,27404,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_8,60,5,2,region_8#60#5#2,76143,55.71,23.16,21.13,62.51,8.76,0.03,1.15,0.03,0.68,67.40,2.32,0.03,0.81,0.04,0.49,54.69,20.36,0.02,0.94,0.02,0.59,58.21,13.05,0.03,2.29,0.05,1.30
region_8,50,2,1,region_8#50#2#1,14705,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_8,50,2,2,region_8#50#2#2,54612,49.07,23.68,27.25,60.47,5.42,0.21,3.57,0.10,3.86,63.54,3.26,0.16,2.41,0.06,3.00,60.97,3.78,0.29,3.85,0.08,4.49,54.52,10.74,0.24,5.40,0.19,4.86
region_8,50,3,1,region_8#50#3#1,146017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_8,50,3,2,region_8#50#3#2,148729,54.40,18.48,21.22,59.21,4.88,0.09,2.23,0.06,1.97,66.48,1.59,0.09,1.54,0.04,1.54,58.73,10.70,0.12,2.53,0.06,2.50,57.41,10.00,0.10,3.92,0.18,3.03
region_8,50,3,4,region_8#50#3#4,73031,80.92,12.25,6.83,44.82,30.36,0.15,2.18,0.12,2.55,44.62,32.00,0.13,1.54,0.07,1.96,48.10,22.58,0.26,3.16,0.17,4.40,41.29,24.93,0.23,7.93,0.63,6.23
region_8,50,5,1,region_8#50#5#1,50438,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_8,50,5,2,region_8#50#5#2,85328,55.88,22.74,21.38,63.11,7.91,0.03,1.17,0.04,0.70,67.52,2.16,0.03,0.84,0.03,0.51,56.01,18.48,0.02,0.97,0.02,0.60,59.13,11.70,0.03,2.26,0.07,1.30
region_8,50,5,3,region_8#50#5#3,5363,79.07,13.15,7.78,45.95,27.84,0.17,2.63,0.15,3.03,45.69,29.79,0.15,1.89,0.09,2.34,49.39,19.69,0.29,3.60,0.19,4.98,42.70,21.76,0.25,8.56,0.68,6.70
region_8,40,2,1,region_8#40#2#1,11736,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_8,40,2,2,region_8#40#2#2,78026,46.11,25.00,28.90,60.85,3.36,0.29,4.25,0.07,4.58,63.87,2.09,0.21,2.68,0.05,3.34,60.66,2.13,0.42,4.57,0.05,5.55,56.18,6.44,0.32,6.47,0.12,5.73
region_8,40,3,1,region_8#40#3#1,250277,67.74,12.64,7.46,41.22,22.61,0.15,2.75,0.11,2.83,46.58,27.75,0.15,2.40,0.07,2.59,50.65,17.33,0.27,4.27,0.15,5.03,43.93,21.79,0.22,7.79,0.51,5.93
region_8,40,3,2,region_8#40#3#2,350498,42.45,24.67,32.88,59.88,5.92,0.17,4.05,0.08,3.66,63.43,2.69,0.16,2.87,0.06,3.11,61.17,3.78,0.22,3.87,0.07,4.07,54.34,1.87,0.03,1.13,0.04,0.81
region_8,40,5,1,region_8#40#5#1,43376,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_8,40,5,2,region_8#40#5#2,55842,53.53,23.33,23.14,64.75,5.20,0.03,1.25,0.05,0.86,67.41,1.85,0.03,1.02,0.03,0.69,62.84,8.09,0.03,1.11,0.04,0.85,60.49,10.05,0.04,1.93,0.11,1.28
region_8,40,5,3,region_8#40#5#3,6873,71.24,17.42,11.34,50.90,17.59,0.23,4.54,0.18,4.53,51.02,19.19,0.20,3.73,0.11,3.83,53.48,11.45,0.31,5.16,0.17,6.05,46.17,16.98,0.24,8.67,0.57,6.58
region_8,30,2,2,region_8#30#2#2,48318,46.21,25.72,28.07,61.08,2.88,0.29,4.31,0.05,4.62,64.45,1.25,0.21,2.66,0.03,3.34,60.85,1.88,0.40,4.51,0.03,5.50,55.74,6.47,0.32,6.86,0.08,5.91
region_8,30,3,1,region_8#30#3#1,75109,23.04,7.95,12.04,19.98,9.20,0.09,2.62,0.07,2.29,52.95,13.63,0.25,4.77,0.13,5.07,55.84,7.94,0.30,5.17,0.16,6.09,27.73,45.06,0.12,9.18,0.22,5.28
region_8,30,3,3,region_8#30#3#3,183138,22.61,22.38,55.01,48.72,29.49,0.02,0.36,0.01,0.36,51.74,25.78,0.02,0.28,0.01,0.39,64.06,7.85,0.03,0.29,0.01,0.42,41.23,39.82,0.02,0.42,0.01,0.32
region_8,30,5,2,region_8#30#5#2,426789,33.95,27.24,38.81,63.43,4.22,0.09,2.39,0.04,2.26,65.03,1.92,0.09,2.35,0.04,2.31,64.09,3.34,0.10,2.08,0.03,2.47,61.56,6.85,0.08,2.64,0.05,2.07
region_8,30,5,3,region_8#30#5#3,43643,22.61,22.38,55.01,48.72,29.49,0.02,0.36,0.01,0.36,51.74,25.78,0.02,0.28,0.01,0.39,64.06,7.85,0.03,0.29,0.01,0.42,41.23,39.82,0.02,0.42,0.01,0.32
region_8,20,3,1,region_8#20#3#1,45550,36.61,10.04,15.18,29.52,14.31,0.09,2.62,0.06,2.23,54.79,15.10,0.15,2.70,0.07,3.10,55.19,12.20,0.20,3.90,0.10,4.20,25.82,49.76,0.09,8.20,0.15,4.42
region_8,20,3,2,region_8#20#3#2,251645,28.92,30.84,40.24,63.62,3.81,0.09,2.58,0.04,2.24,65.16,1.50,0.09,2.53,0.05,2.36,64.69,2.67,0.09,2.17,0.02,2.26,61.71,6.34,0.08,2.94,0.04,2.14
region_8,20,3,3,region_8#20#3#3,281576,35.21,22.73,42.06,52.12,15.44,0.21,4.91,0.13,4.18,55.24,11.60,0.28,3.99,0.10,4.29,56.61,8.66,0.25,4.68,0.16,4.73,47.08,22.32,0.12,5.80,0.15,3.79
region_8,20,5,2,region_8#20#5#2,47499,24.22,31.53,44.26,60.90,8.62,0.07,2.02,0.04,1.96,63.60,4.34,0.07,2.18,0.04,2.20,62.70,6.02,0.08,1.81,0.03,2.16,58.14,12.82,0.06,2.09,0.05,1.69
region_8,20,5,3,region_8#20#5#3,17111,33.39,19.78,46.83,47.91,29.19,0.02,1.30,0.02,0.83,46.39,32.79,0.02,0.42,0.02,0.40,56.47,17.48,0.02,0.76,0.04,0.65,45.38,31.56,0.02,2.16,0.02,1.21
